ID,LOOPTYPE (0: Single 1: Move),FPS,,,,,,
Daniel_Skill_Effect,0,10,,,,,,
TEXTURE ID,L,T,W,H,X,Y,FLIPX,FLIPY
graphics/Effect/player/daniel_SkillEffect.png,0,0,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,180,0,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,360,0,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,0,180,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,180,180,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,360,180,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,0,360,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,180,360,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,360,360,180,180,90,180,0,0
graphics/Effect/player/daniel_SkillEffect.png,540,360,180,180,90,180,0,0
